,Dates_list,Dates
0,2015-10-01,10/1/2015
1,2015-10-02,10/2/2015
2,2015-10-03,10/3/2015
3,2015-10-04,10/4/2015
4,2015-10-05,10/5/2015
5,2015-10-06,10/6/2015
6,2015-10-07,10/7/2015
7,2015-10-08,10/8/2015
8,2015-10-09,10/9/2015
9,2015-10-10,10/10/2015
10,2015-10-11,10/11/2015
11,2015-10-12,10/12/2015
12,2015-10-13,10/13/2015
13,2015-10-14,10/14/2015
14,2015-10-15,10/15/2015
15,2015-10-16,10/16/2015
16,2015-10-17,10/17/2015
17,2015-10-18,10/18/2015
18,2015-10-19,10/19/2015
19,2015-10-20,10/20/2015
20,2015-10-21,10/21/2015
21,2015-10-22,10/22/2015
22,2015-10-23,10/23/2015
23,2015-10-24,10/24/2015
24,2015-10-25,10/25/2015
25,2015-10-26,10/26/2015
26,2015-10-27,10/27/2015
27,2015-10-28,10/28/2015
28,2015-10-29,10/29/2015
29,2015-10-30,10/30/2015
30,2015-10-31,10/31/2015
31,2015-11-01,11/1/2015
32,2015-11-02,11/2/2015
33,2015-11-03,11/3/2015
34,2015-11-04,11/4/2015
35,2015-11-05,11/5/2015
36,2015-11-06,11/6/2015
37,2015-11-07,11/7/2015
38,2015-11-08,11/8/2015
39,2015-11-09,11/9/2015
40,2015-11-10,11/10/2015
41,2015-11-11,11/11/2015
42,2015-11-12,11/12/2015
43,2015-11-13,11/13/2015
44,2015-11-14,11/14/2015
45,2015-11-15,11/15/2015
46,2015-11-16,11/16/2015
47,2015-11-17,11/17/2015
48,2015-11-18,11/18/2015
49,2015-11-19,11/19/2015
50,2015-11-20,11/20/2015
51,2015-11-21,11/21/2015
52,2015-11-22,11/22/2015
53,2015-11-23,11/23/2015
54,2015-11-24,11/24/2015
55,2015-11-25,11/25/2015
56,2015-11-26,11/26/2015
57,2015-11-27,11/27/2015
58,2015-11-28,11/28/2015
59,2015-11-29,11/29/2015
60,2015-11-30,11/30/2015
61,2015-12-01,12/1/2015
62,2015-12-02,12/2/2015
63,2015-12-03,12/3/2015
64,2015-12-04,12/4/2015
65,2015-12-05,12/5/2015
66,2015-12-06,12/6/2015
67,2015-12-07,12/7/2015
68,2015-12-08,12/8/2015
69,2015-12-09,12/9/2015
70,2015-12-10,12/10/2015
71,2015-12-11,12/11/2015
72,2015-12-12,12/12/2015
73,2015-12-13,12/13/2015
74,2015-12-14,12/14/2015
75,2015-12-15,12/15/2015
76,2015-12-16,12/16/2015
77,2015-12-17,12/17/2015
78,2015-12-18,12/18/2015
79,2015-12-19,12/19/2015
80,2015-12-20,12/20/2015
81,2015-12-21,12/21/2015
82,2015-12-22,12/22/2015
83,2015-12-23,12/23/2015
84,2015-12-24,12/24/2015
85,2015-12-25,12/25/2015
86,2015-12-26,12/26/2015
87,2015-12-27,12/27/2015
88,2015-12-28,12/28/2015
89,2015-12-29,12/29/2015
90,2015-12-30,12/30/2015
91,2015-12-31,12/31/2015
92,2016-01-01,1/1/2016
93,2016-01-02,1/2/2016
94,2016-01-03,1/3/2016
95,2016-01-04,1/4/2016
96,2016-01-05,1/5/2016
97,2016-01-06,1/6/2016
98,2016-01-07,1/7/2016
99,2016-01-08,1/8/2016
100,2016-01-09,1/9/2016
101,2016-01-10,1/10/2016
102,2016-01-11,1/11/2016
103,2016-01-12,1/12/2016
104,2016-01-13,1/13/2016
105,2016-01-14,1/14/2016
106,2016-01-15,1/15/2016
107,2016-01-16,1/16/2016
108,2016-01-17,1/17/2016
109,2016-01-18,1/18/2016
110,2016-01-19,1/19/2016
111,2016-01-20,1/20/2016
112,2016-01-21,1/21/2016
113,2016-01-22,1/22/2016
114,2016-01-23,1/23/2016
115,2016-01-24,1/24/2016
116,2016-01-25,1/25/2016
117,2016-01-26,1/26/2016
118,2016-01-27,1/27/2016
119,2016-01-28,1/28/2016
120,2016-01-29,1/29/2016
121,2016-01-30,1/30/2016
122,2016-01-31,1/31/2016
123,2016-02-01,2/1/2016
124,2016-02-02,2/2/2016
125,2016-02-03,2/3/2016
126,2016-02-04,2/4/2016
127,2016-02-05,2/5/2016
128,2016-02-06,2/6/2016
129,2016-02-07,2/7/2016
130,2016-02-08,2/8/2016
131,2016-02-09,2/9/2016
132,2016-02-10,2/10/2016
133,2016-02-11,2/11/2016
134,2016-02-12,2/12/2016
135,2016-02-13,2/13/2016
136,2016-02-14,2/14/2016
137,2016-02-15,2/15/2016
138,2016-02-16,2/16/2016
139,2016-02-17,2/17/2016
140,2016-02-18,2/18/2016
141,2016-02-19,2/19/2016
142,2016-02-20,2/20/2016
143,2016-02-21,2/21/2016
144,2016-02-22,2/22/2016
145,2016-02-23,2/23/2016
146,2016-02-24,2/24/2016
147,2016-02-25,2/25/2016
148,2016-02-26,2/26/2016
149,2016-02-27,2/27/2016
150,2016-02-28,2/28/2016
151,2016-02-29,2/29/2016
152,2016-03-01,3/1/2016
153,2016-03-02,3/2/2016
154,2016-03-03,3/3/2016
155,2016-03-04,3/4/2016
156,2016-03-05,3/5/2016
157,2016-03-06,3/6/2016
158,2016-03-07,3/7/2016
159,2016-03-08,3/8/2016
160,2016-03-09,3/9/2016
161,2016-03-10,3/10/2016
162,2016-03-11,3/11/2016
163,2016-03-12,3/12/2016
164,2016-03-13,3/13/2016
165,2016-03-14,3/14/2016
166,2016-03-15,3/15/2016
167,2016-03-16,3/16/2016
168,2016-03-17,3/17/2016
169,2016-03-18,3/18/2016
170,2016-03-19,3/19/2016
171,2016-03-20,3/20/2016
172,2016-03-21,3/21/2016
173,2016-03-22,3/22/2016
174,2016-03-23,3/23/2016
175,2016-03-24,3/24/2016
176,2016-03-25,3/25/2016
177,2016-03-26,3/26/2016
178,2016-03-27,3/27/2016
179,2016-03-28,3/28/2016
180,2016-03-29,3/29/2016
181,2016-03-30,3/30/2016
182,2016-03-31,3/31/2016
183,2016-04-01,4/1/2016
184,2016-04-02,4/2/2016
185,2016-04-03,4/3/2016
186,2016-04-04,4/4/2016
187,2016-04-05,4/5/2016
188,2016-04-06,4/6/2016
189,2016-04-07,4/7/2016
190,2016-04-08,4/8/2016
191,2016-04-09,4/9/2016
192,2016-04-10,4/10/2016
193,2016-04-11,4/11/2016
194,2016-04-12,4/12/2016
195,2016-04-13,4/13/2016
196,2016-04-14,4/14/2016
197,2016-04-15,4/15/2016
198,2016-04-16,4/16/2016
199,2016-04-17,4/17/2016
200,2016-04-18,4/18/2016
201,2016-04-19,4/19/2016
202,2016-04-20,4/20/2016
203,2016-04-21,4/21/2016
204,2016-04-22,4/22/2016
205,2016-04-23,4/23/2016
206,2016-04-24,4/24/2016
207,2016-04-25,4/25/2016
208,2016-04-26,4/26/2016
